package,kind,symbol,source,status,destination_or_reason
root,func,AddConfigPath,viper.go,compatible,goforge.dev/gpviper
root,func,AddRemoteProvider,remote.go,compatible,goforge.dev/gpviper
root,func,AddSecureRemoteProvider,remote.go,compatible,goforge.dev/gpviper
root,func,AllKeys,viper.go,compatible,goforge.dev/gpviper
root,func,AllSettings,viper.go,compatible,goforge.dev/gpviper
root,func,AllowEmptyEnv,viper.go,compatible,goforge.dev/gpviper
root,func,AutomaticEnv,viper.go,compatible,goforge.dev/gpviper
root,func,BindEnv,viper.go,compatible,goforge.dev/gpviper
root,func,BindFlagValue,viper.go,compatible,goforge.dev/gpviper
root,func,BindFlagValues,viper.go,compatible,goforge.dev/gpviper
root,func,BindPFlag,viper.go,compatible,goforge.dev/gpviper
root,func,BindPFlags,viper.go,compatible,goforge.dev/gpviper
root,type,Codec,encoding.go,compatible,goforge.dev/gpviper
root,type,CodecRegistry,encoding.go,compatible,goforge.dev/gpviper
root,type,ConfigFileAlreadyExistsError,viper.go,compatible,goforge.dev/gpviper
root,method,ConfigFileAlreadyExistsError.Error,viper.go,compatible,goforge.dev/gpviper
root,type,ConfigFileNotFoundError,viper.go,compatible,goforge.dev/gpviper
root,method,ConfigFileNotFoundError.Error,viper.go,compatible,goforge.dev/gpviper
root,func,ConfigFileUsed,viper.go,compatible,goforge.dev/gpviper
root,type,ConfigMarshalError,viper.go,compatible,goforge.dev/gpviper
root,method,ConfigMarshalError.Error,viper.go,compatible,goforge.dev/gpviper
root,type,ConfigParseError,util.go,compatible,goforge.dev/gpviper
root,method,ConfigParseError.Error,util.go,compatible,goforge.dev/gpviper
root,method,ConfigParseError.Unwrap,util.go,compatible,goforge.dev/gpviper
root,func,Debug,viper.go,compatible,goforge.dev/gpviper
root,func,DebugTo,viper.go,compatible,goforge.dev/gpviper
root,func,DecodeHook,viper.go,compatible,goforge.dev/gpviper
root,type,Decoder,encoding.go,compatible,goforge.dev/gpviper
root,type,DecoderConfigOption,viper.go,compatible,goforge.dev/gpviper
root,type,DecoderRegistry,encoding.go,compatible,goforge.dev/gpviper
root,type,DefaultCodecRegistry,encoding.go,compatible,goforge.dev/gpviper
root,method,DefaultCodecRegistry.Decoder,encoding.go,compatible,goforge.dev/gpviper
root,method,DefaultCodecRegistry.Encoder,encoding.go,compatible,goforge.dev/gpviper
root,method,DefaultCodecRegistry.RegisterCodec,encoding.go,compatible,goforge.dev/gpviper
root,type,Encoder,encoding.go,compatible,goforge.dev/gpviper
root,type,EncoderRegistry,encoding.go,compatible,goforge.dev/gpviper
root,func,EnvKeyReplacer,viper.go,compatible,goforge.dev/gpviper
root,func,ExperimentalBindStruct,experimental.go,compatible,goforge.dev/gpviper
root,func,ExperimentalFinder,file.go,compatible,goforge.dev/gpviper
root,type,Finder,finder.go,compatible,goforge.dev/gpviper
root,func,Finders,finder.go,compatible,goforge.dev/gpviper
root,type,FlagValue,flags.go,compatible,goforge.dev/gpviper
root,type,FlagValueSet,flags.go,compatible,goforge.dev/gpviper
root,func,Get,viper.go,compatible,goforge.dev/gpviper
root,func,GetBool,viper.go,compatible,goforge.dev/gpviper
root,func,GetDuration,viper.go,compatible,goforge.dev/gpviper
root,func,GetEnvPrefix,viper.go,compatible,goforge.dev/gpviper
root,func,GetFloat64,viper.go,compatible,goforge.dev/gpviper
root,func,GetInt,viper.go,compatible,goforge.dev/gpviper
root,func,GetInt32,viper.go,compatible,goforge.dev/gpviper
root,func,GetInt64,viper.go,compatible,goforge.dev/gpviper
root,func,GetIntSlice,viper.go,compatible,goforge.dev/gpviper
root,func,GetSizeInBytes,viper.go,compatible,goforge.dev/gpviper
root,func,GetString,viper.go,compatible,goforge.dev/gpviper
root,func,GetStringMap,viper.go,compatible,goforge.dev/gpviper
root,func,GetStringMapString,viper.go,compatible,goforge.dev/gpviper
root,func,GetStringMapStringSlice,viper.go,compatible,goforge.dev/gpviper
root,func,GetStringSlice,viper.go,compatible,goforge.dev/gpviper
root,func,GetTime,viper.go,compatible,goforge.dev/gpviper
root,func,GetUint,viper.go,compatible,goforge.dev/gpviper
root,func,GetUint16,viper.go,compatible,goforge.dev/gpviper
root,func,GetUint32,viper.go,compatible,goforge.dev/gpviper
root,func,GetUint64,viper.go,compatible,goforge.dev/gpviper
root,func,GetUint8,viper.go,compatible,goforge.dev/gpviper
root,func,GetViper,viper.go,compatible,goforge.dev/gpviper
root,func,InConfig,viper.go,compatible,goforge.dev/gpviper
root,func,IsSet,viper.go,compatible,goforge.dev/gpviper
root,func,KeyDelimiter,viper.go,compatible,goforge.dev/gpviper
root,func,MergeConfig,viper.go,compatible,goforge.dev/gpviper
root,func,MergeConfigMap,viper.go,compatible,goforge.dev/gpviper
root,func,MergeInConfig,viper.go,compatible,goforge.dev/gpviper
root,func,MustBindEnv,viper.go,compatible,goforge.dev/gpviper
root,func,New,viper.go,compatible,goforge.dev/gpviper
root,func,NewCodecRegistry,encoding.go,compatible,goforge.dev/gpviper
root,func,NewWithOptions,viper.go,compatible,goforge.dev/gpviper
root,func,OnConfigChange,viper.go,compatible,goforge.dev/gpviper
root,type,Option,viper.go,compatible,goforge.dev/gpviper
root,func,ReadConfig,viper.go,compatible,goforge.dev/gpviper
root,func,ReadInConfig,viper.go,compatible,goforge.dev/gpviper
root,func,ReadRemoteConfig,remote.go,compatible,goforge.dev/gpviper
root,func,RegisterAlias,viper.go,compatible,goforge.dev/gpviper
root,var,RemoteConfig,remote.go,compatible,goforge.dev/gpviper
root,type,RemoteConfigError,remote.go,compatible,goforge.dev/gpviper
root,method,RemoteConfigError.Error,remote.go,compatible,goforge.dev/gpviper
root,type,RemoteProvider,remote.go,compatible,goforge.dev/gpviper
root,type,RemoteResponse,remote.go,compatible,goforge.dev/gpviper
root,func,Reset,viper.go,compatible,goforge.dev/gpviper
root,func,SafeWriteConfig,viper.go,compatible,goforge.dev/gpviper
root,func,SafeWriteConfigAs,viper.go,compatible,goforge.dev/gpviper
root,func,Set,viper.go,compatible,goforge.dev/gpviper
root,func,SetConfigFile,viper.go,compatible,goforge.dev/gpviper
root,func,SetConfigName,viper.go,compatible,goforge.dev/gpviper
root,func,SetConfigPermissions,viper.go,compatible,goforge.dev/gpviper
root,func,SetConfigType,viper.go,compatible,goforge.dev/gpviper
root,func,SetDefault,viper.go,compatible,goforge.dev/gpviper
root,func,SetEnvKeyReplacer,viper.go,compatible,goforge.dev/gpviper
root,func,SetEnvPrefix,viper.go,compatible,goforge.dev/gpviper
root,func,SetFs,viper.go,compatible,goforge.dev/gpviper
root,func,SetOptions,viper.go,compatible,goforge.dev/gpviper
